,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
162,(-0.09142257842081153+0j),(0.0683021556655955+0j),(-0.0009052209327003239+0j),,,,,,,(2.037067918348843e-06+0j)
163,(-0.09010468675537425+0j),(0.06827909999068486+0j),(-0.0009215472233902832+0j),,,,,,,(2.0370699591651697e-06+0j)
164,(-0.0886978726427459+0j),(0.06825564373378365+0j),(-0.0009370419967513913+0j),,,,,,,(2.037071999981496e-06+0j)
165,(-0.08720352443828316+0j),(0.06823180815598684+0j),(-0.000951679477926317+0j),,,,,,,(2.0370740407978227e-06+0j)
166,(-0.08562311688340682+0j),(0.06820761515952065+0j),(-0.0009654345132385105+0j),,,,,,,(2.037076081614149e-06+0j)
167,(-0.08395820964956867+0j),(0.06818308727128972+0j),(-0.0009782826346808797+0j),,,,,,,(2.0370781224304757e-06+0j)
168,(-0.08221044579920185+0j),(0.06815824762480309+0j),(-0.0009902001242182144+0j),,,,,,,(2.037080163246802e-06+0j)
169,(-0.08038155016443305+0j),(0.06813311994048775+0j),(-0.0010011640775514558+0j),,,,,,,(2.0370822040631287e-06+0j)
170,(-0.07847332764402504+0j),(0.06810772850440798+0j),(-0.001011152467004147+0j),,,,,,,(2.0370842448794552e-06+0j)
171,(-0.07648766142343015+0j),(0.06808209814543237+0j),(-0.0010201442019368812+0j),,,,,,,(2.0370862856957817e-06+0j)
172,(-0.07442651111547574+0j),(0.06805625421100661+0j),(-0.0010281191790759666+0j),,,,,,,(2.0370883265121082e-06+0j)
173,(-0.07229191082667015+0j),(0.06803022254181157+0j),(-0.0010350583207330082+0j),,,,,,,(2.0370903673284347e-06+0j)
174,(-0.07008596714978504+0j),(0.06800402944537604+0j),(-0.001040943619632417+0j),,,,,,,(2.0370924081447613e-06+0j)
175,(-0.06781085708517014+0j),(0.067977701668332+0j),(-0.001045758201904638+0j),,,,,,,(2.0370944489610878e-06+0j)
176,(-0.06546882589125504+0j),(0.06795126636701848+0j),(-0.0010494863952739367+0j),,,,,,,(2.0370964897774143e-06+0j)
